     0.100124136, 25556, , cache-misses, 100053312, 100.00, 0.028, of all cache refs
     0.100124136, 90427440, , cache-references, 100056109, 100.00, , 
     0.100124136, 96019837, , ldst_spec, 100055979, 100.00, , 
     0.200388196, 25542, , cache-misses, 100174872, 100.00, 0.028, of all cache refs
     0.200388196, 89903478, , cache-references, 100172650, 100.00, , 
     0.200388196, 95632174, , ldst_spec, 100171317, 100.00, , 
     0.301501853, 25484, , cache-misses, 101036668, 100.00, 0.028, of all cache refs
     0.301501853, 91262634, , cache-references, 101034649, 100.00, , 
     0.301501853, 96999189, , ldst_spec, 101033427, 100.00, , 
     0.402637066, 25729, , cache-misses, 101060242, 100.00, 0.028, of all cache refs
     0.402637066, 91067692, , cache-references, 101062094, 100.00, , 
     0.402637066, 96785418, , ldst_spec, 101062649, 100.00, , 
     0.503781889, 25601, , cache-misses, 101069797, 100.00, 0.028, of all cache refs
     0.503781889, 90675047, , cache-references, 101068260, 100.00, , 
     0.503781889, 96431772, , ldst_spec, 101067797, 100.00, , 
     0.604952546, 25489, , cache-misses, 101094851, 100.00, 0.028, of all cache refs
     0.604952546, 90854978, , cache-references, 101094388, 100.00, , 
     0.604952546, 96549754, , ldst_spec, 101094703, 100.00, , 
     0.705993019, 25868, , cache-misses, 100957095, 100.00, 0.029, of all cache refs
     0.705993019, 91118311, , cache-references, 100957947, 100.00, , 
     0.705993019, 97121373, , ldst_spec, 100957929, 100.00, , 
     0.806879069, 25449, , cache-misses, 100811667, 100.00, 0.028, of all cache refs
     0.806879069, 91200351, , cache-references, 100810407, 100.00, , 
     0.806879069, 96968243, , ldst_spec, 100809944, 100.00, , 
     0.907771211, 25833, , cache-misses, 100808185, 100.00, 0.028, of all cache refs
     0.907771211, 91518870, , cache-references, 100808427, 100.00, , 
     0.907771211, 97622985, , ldst_spec, 100808315, 100.00, , 
     1.008569355, 25080, , cache-misses, 100723094, 100.00, 0.028, of all cache refs
     1.008569355, 90855339, , cache-references, 100722797, 100.00, , 
     1.008569355, 97172145, , ldst_spec, 100722983, 100.00, , 
     1.109266853, 25112, , cache-misses, 100622036, 100.00, 0.028, of all cache refs
     1.109266853, 90743251, , cache-references, 100621962, 100.00, , 
     1.109266853, 96827248, , ldst_spec, 100621684, 100.00, , 
     1.210223327, 25498, , cache-misses, 100882407, 100.00, 0.028, of all cache refs
     1.210223327, 91456919, , cache-references, 100882814, 100.00, , 
     1.210223327, 97830540, , ldst_spec, 100883333, 100.00, , 
     1.311082285, 25181, , cache-misses, 100783039, 100.00, 0.028, of all cache refs
     1.311082285, 91482988, , cache-references, 100782353, 100.00, , 
