     0.100129256, 1531, , cache-misses, 100013703, 100.00, 0.002, of all cache refs
     0.100129256, 97746107, , cache-references, 100011629, 100.00, , 
     0.100129256, 103851253, , ldst_spec, 100013109, 100.00, , 
     0.201652560, 2843, , cache-misses, 101448646, 100.00, 0.003, of all cache refs
     0.201652560, 99008217, , cache-references, 101446739, 100.00, , 
     0.201652560, 105212624, , ldst_spec, 101444203, 100.00, , 
     0.302614633, 2665, , cache-misses, 100890649, 100.00, 0.003, of all cache refs
     0.302614633, 98760653, , cache-references, 100888296, 100.00, , 
     0.302614633, 104520995, , ldst_spec, 100887981, 100.00, , 
     0.403620151, 2305, , cache-misses, 100937852, 100.00, 0.002, of all cache refs
     0.403620151, 98761346, , cache-references, 100938241, 100.00, , 
     0.403620151, 104596998, , ldst_spec, 100938222, 100.00, , 
     0.504583854, 2496, , cache-misses, 100895500, 100.00, 0.003, of all cache refs
     0.504583854, 98828555, , cache-references, 100895001, 100.00, , 
     0.504583854, 104840005, , ldst_spec, 100894686, 100.00, , 
     0.605594556, 2561, , cache-misses, 100893851, 100.00, 0.003, of all cache refs
     0.605594556, 98918691, , cache-references, 100894869, 100.00, , 
     0.605594556, 104388320, , ldst_spec, 100895388, 100.00, , 
     0.706456835, 1940, , cache-misses, 100795017, 100.00, 0.002, of all cache refs
     0.706456835, 98712976, , cache-references, 100793165, 100.00, , 
     0.706456835, 104409912, , ldst_spec, 100792962, 100.00, , 
     0.807120562, 1829, , cache-misses, 100596073, 100.00, 0.002, of all cache refs
     0.807120562, 98831066, , cache-references, 100595999, 100.00, , 
     0.807120562, 103998575, , ldst_spec, 100595776, 100.00, , 
     0.907888825, 2008, , cache-misses, 100701017, 100.00, 0.002, of all cache refs
     0.907888825, 98990206, , cache-references, 100700740, 100.00, , 
     0.907888825, 104039038, , ldst_spec, 100700851, 100.00, , 
     1.008668402, 1998, , cache-misses, 100672703, 100.00, 0.002, of all cache refs
     1.008668402, 98902891, , cache-references, 100672998, 100.00, , 
     1.008668402, 104177793, , ldst_spec, 100672887, 100.00, , 
     1.109336741, 2746, , cache-misses, 100395499, 100.00, 0.003, of all cache refs
     1.109336741, 98601534, , cache-references, 100397370, 100.00, , 
     1.109336741, 104038892, , ldst_spec, 100398000, 100.00, , 
     1.210010357, 1944, , cache-misses, 100603369, 100.00, 0.002, of all cache refs
     1.210010357, 98844588, , cache-references, 100601591, 100.00, , 
     1.210010357, 104113439, , ldst_spec, 100600776, 100.00, , 
     1.310789064, 2211, , cache-misses, 100689483, 100.00, 0.002, of all cache refs
     1.310789064, 99079397, , cache-references, 100689854, 100.00, , 
     1.310789064, 104243527, , ldst_spec, 100690354, 100.00, , 
     1.411540772, 2007, , cache-misses, 100684278, 100.00, 0.002, of all cache refs
     1.411540772, 99007488, , cache-references, 100683925, 100.00, , 
     1.411540772, 104140976, , ldst_spec, 100683462, 100.00, , 
     1.512195944, 2224, , cache-misses, 100540926, 100.00, 0.002, of all cache refs
     1.512195944, 98835674, , cache-references, 100541390, 100.00, , 
     1.512195944, 104042155, , ldst_spec, 100541760, 100.00, , 
     1.612952429, 1833, , cache-misses, 100682386, 100.00, 0.002, of all cache refs
     1.612952429, 98873362, , cache-references, 100681645, 100.00, , 
     1.612952429, 104334763, , ldst_spec, 100681423, 100.00, , 
     1.713720340, 1931, , cache-misses, 100700370, 100.00, 0.002, of all cache refs
     1.713720340, 99016024, , cache-references, 100701204, 100.00, , 
     1.713720340, 104229792, , ldst_spec, 100701408, 100.00, , 
     1.814381660, 1648, , cache-misses, 100593872, 100.00, 0.002, of all cache refs
     1.814381660, 98772923, , cache-references, 100593408, 100.00, , 
     1.814381660, 104347057, , ldst_spec, 100593593, 100.00, , 
     1.915028222, 1669, , cache-misses, 100521928, 100.00, 0.002, of all cache refs
     1.915028222, 97951379, , cache-references, 100522298, 100.00, , 
     1.915028222, 103914585, , ldst_spec, 100521836, 100.00, , 
     2.015774504, 2212, , cache-misses, 100626887, 100.00, 0.002, of all cache refs
     2.015774504, 97723276, , cache-references, 100627628, 100.00, , 
     2.015774504, 103906304, , ldst_spec, 100627627, 100.00, , 
     2.116467546, 2099, , cache-misses, 100615832, 100.00, 0.002, of all cache refs
     2.116467546, 97835957, , cache-references, 100614758, 100.00, , 
     2.116467546, 103802191, , ldst_spec, 100614944, 100.00, , 
     2.217109868, 1875, , cache-misses, 100575572, 100.00, 0.002, of all cache refs
     2.217109868, 97752501, , cache-references, 100575590, 100.00, , 
     2.217109868, 103803023, , ldst_spec, 100575460, 100.00, , 
     2.317856631, 1788, , cache-misses, 100679758, 100.00, 0.002, of all cache refs
     2.317856631, 98109056, , cache-references, 100679555, 100.00, , 
     2.317856631, 104298662, , ldst_spec, 100679444, 100.00, , 
     2.418494156, 1607, , cache-misses, 100571481, 100.00, 0.002, of all cache refs
     2.418494156, 97728160, , cache-references, 100571573, 100.00, , 
     2.418494156, 103937329, , ldst_spec, 100571628, 100.00, , 
     2.519219050, 2010, , cache-misses, 100641609, 100.00, 0.002, of all cache refs
     2.519219050, 98018394, , cache-references, 100642128, 100.00, , 
     2.519219050, 104200600, , ldst_spec, 100642202, 100.00, , 
     2.619984443, 2249, , cache-misses, 100690481, 100.00, 0.002, of all cache refs
     2.619984443, 97823335, , cache-references, 100689981, 100.00, , 
     2.619984443, 103886565, , ldst_spec, 100689759, 100.00, , 
     2.720630912, 2053, , cache-misses, 100578628, 100.00, 0.002, of all cache refs
     2.720630912, 97924855, , cache-references, 100578758, 100.00, , 
     2.720630912, 103991586, , ldst_spec, 100579202, 100.00, , 
     2.821068199, 1371, , cache-misses, 100371164, 100.00, 0.001, of all cache refs
     2.821068199, 97511538, , cache-references, 100370349, 100.00, , 
     2.821068199, 103665586, , ldst_spec, 100369813, 100.00, , 
     2.921397101, 1370, , cache-misses, 100254243, 100.00, 0.001, of all cache refs
     2.921397101, 97648678, , cache-references, 100254687, 100.00, , 
     2.921397101, 104098411, , ldst_spec, 100254927, 100.00, , 
     3.021798982, 1390, , cache-misses, 100336388, 100.00, 0.001, of all cache refs
     3.021798982, 97899087, , cache-references, 100336833, 100.00, , 
     3.021798982, 104339882, , ldst_spec, 100336889, 100.00, , 
     3.122102310, 1760, , cache-misses, 100175682, 100.00, 0.002, of all cache refs
     3.122102310, 97567818, , cache-references, 100175793, 100.00, , 
     3.122102310, 104074741, , ldst_spec, 100175830, 100.00, , 
     3.222527784, 1486, , cache-misses, 100359280, 100.00, 0.002, of all cache refs
     3.222527784, 97869108, , cache-references, 100358595, 100.00, , 
