     0.100121220, 1571, , cache-misses, 100049981, 100.00, 0.006, of all cache refs
     0.100121220, 24322152, , cache-references, 100046943, 100.00, , 
     0.100121220, 25622130, , ldst_spec, 100047462, 100.00, , 
     0.200399325, 1560, , cache-misses, 100207979, 100.00, 0.006, of all cache refs
     0.200399325, 24327180, , cache-references, 100204942, 100.00, , 
     0.200399325, 25582579, , ldst_spec, 100203090, 100.00, , 
     0.301385030, 1620, , cache-misses, 100909370, 100.00, 0.007, of all cache refs
     0.301385030, 24490202, , cache-references, 100909203, 100.00, , 
     0.301385030, 25843391, , ldst_spec, 100909037, 100.00, , 
     0.402313958, 1582, , cache-misses, 100862370, 100.00, 0.006, of all cache refs
     0.402313958, 24496001, , cache-references, 100862130, 100.00, , 
     0.402313958, 25826664, , ldst_spec, 100861889, 100.00, , 
     0.503299941, 1533, , cache-misses, 100919353, 100.00, 0.006, of all cache refs
     0.503299941, 24514311, , cache-references, 100918927, 100.00, , 
     0.503299941, 25781247, , ldst_spec, 100918834, 100.00, , 
     0.604224128, 1639, , cache-misses, 100858483, 100.00, 0.007, of all cache refs
     0.604224128, 24496700, , cache-references, 100859316, 100.00, , 
     0.604224128, 25741777, , ldst_spec, 100859834, 100.00, , 
     0.705130316, 1555, , cache-misses, 100840426, 100.00, 0.006, of all cache refs
     0.705130316, 24481968, , cache-references, 100839130, 100.00, , 
     0.705130316, 25695264, , ldst_spec, 100838705, 100.00, , 
     0.805906469, 1688, , cache-misses, 100673280, 100.00, 0.007, of all cache refs
     0.805906469, 24446168, , cache-references, 100673188, 100.00, , 
     0.805906469, 25729045, , ldst_spec, 100673187, 100.00, , 
     0.906565735, 1582, , cache-misses, 100593980, 100.00, 0.006, of all cache refs
     0.906565735, 24417116, , cache-references, 100594424, 100.00, , 
     0.906565735, 25631298, , ldst_spec, 100594554, 100.00, , 
     1.007244945, 1581, , cache-misses, 100613722, 100.00, 0.006, of all cache refs
     1.007244945, 24410032, , cache-references, 100614259, 100.00, , 
     1.007244945, 25657369, , ldst_spec, 100614166, 100.00, , 
     1.107922785, 1651, , cache-misses, 100611128, 100.00, 0.007, of all cache refs
     1.107922785, 24438180, , cache-references, 100610165, 100.00, , 
     1.107922785, 25727319, , ldst_spec, 100610295, 100.00, , 
     1.208266723, 1561, , cache-misses, 100278832, 100.00, 0.006, of all cache refs
     1.208266723, 24434765, , cache-references, 100279647, 100.00, , 
     1.208266723, 25596514, , ldst_spec, 100279684, 100.00, , 
     1.308426460, 1654, , cache-misses, 100085425, 100.00, 0.007, of all cache refs
     1.308426460, 24393046, , cache-references, 100084443, 100.00, , 
     1.308426460, 25507562, , ldst_spec, 100084425, 100.00, , 
     1.408582105, 1567, , cache-misses, 100090406, 100.00, 0.006, of all cache refs
     1.408582105, 24379805, , cache-references, 100090129, 100.00, , 
     1.408582105, 25508174, , ldst_spec, 100089999, 100.00, , 
     1.508737991, 1582, , cache-misses, 100090408, 100.00, 0.006, of all cache refs
     1.508737991, 24388978, , cache-references, 100091185, 100.00, , 
     1.508737991, 25464572, , ldst_spec, 100091167, 100.00, , 
     1.608896951, 1640, , cache-misses, 100085277, 100.00, 0.007, of all cache refs
     1.608896951, 24403411, , cache-references, 100085073, 100.00, , 
     1.608896951, 25404339, , ldst_spec, 100084758, 100.00, , 
     1.709056114, 1550, , cache-misses, 100094501, 100.00, 0.006, of all cache refs
     1.709056114, 24400603, , cache-references, 100094834, 100.00, , 
     1.709056114, 25377014, , ldst_spec, 100095445, 100.00, , 
     1.809213907, 1836, , cache-misses, 100057407, 100.00, 0.008, of all cache refs
     1.809213907, 24397639, , cache-references, 100057019, 100.00, , 
     1.809213907, 25399397, , ldst_spec, 100056482, 100.00, , 
     1.909366589, 1520, , cache-misses, 100087259, 100.00, 0.006, of all cache refs
     1.909366589, 24408528, , cache-references, 100086907, 100.00, , 
     1.909366589, 25430720, , ldst_spec, 100086666, 100.00, , 
     2.009520049, 1549, , cache-misses, 100088278, 100.00, 0.006, of all cache refs
     2.009520049, 24406779, , cache-references, 100088612, 100.00, , 
     2.009520049, 25363937, , ldst_spec, 100089667, 100.00, , 
     2.109675009, 1587, , cache-misses, 100089187, 100.00, 0.006, of all cache refs
     2.109675009, 24398206, , cache-references, 100088779, 100.00, , 
     2.109675009, 25447662, , ldst_spec, 100088262, 100.00, , 
     2.209827802, 1596, , cache-misses, 100079481, 100.00, 0.007, of all cache refs
     2.209827802, 24389282, , cache-references, 100079370, 100.00, , 
     2.209827802, 25658036, , ldst_spec, 100078999, 100.00, , 
     2.309980355, 1590, , cache-misses, 100087648, 100.00, 0.007, of all cache refs
     2.309980355, 24388574, , cache-references, 100087796, 100.00, , 
     2.309980355, 25647257, , ldst_spec, 100088018, 100.00, , 
     2.410145000, 1532, , cache-misses, 100099184, 100.00, 0.006, of all cache refs
     2.410145000, 24376129, , cache-references, 100099647, 100.00, , 
     2.410145000, 25673660, , ldst_spec, 100099425, 100.00, , 
     2.510297663, 1500, , cache-misses, 100087279, 100.00, 0.006, of all cache refs
     2.510297663, 24384342, , cache-references, 100087279, 100.00, , 
     2.510297663, 25684457, , ldst_spec, 100087464, 100.00, , 
     2.610448605, 1575, , cache-misses, 100086409, 100.00, 0.006, of all cache refs
     2.610448605, 24362671, , cache-references, 100085687, 100.00, , 
     2.610448605, 25735107, , ldst_spec, 100085854, 100.00, , 
     2.710612102, 1575, , cache-misses, 100099353, 100.00, 0.006, of all cache refs
     2.710612102, 24357094, , cache-references, 100100297, 100.00, , 
     2.710612102, 25700464, , ldst_spec, 100100074, 100.00, , 
     2.810767617, 1629, , cache-misses, 100057850, 100.00, 0.007, of all cache refs
     2.810767617, 24370068, , cache-references, 100057350, 100.00, , 
     2.810767617, 25696768, , ldst_spec, 100057221, 100.00, , 
     2.910918466, 1584, , cache-misses, 100086296, 100.00, 0.006, of all cache refs
     2.910918466, 24363414, , cache-references, 100085944, 100.00, , 
     2.910918466, 25646368, , ldst_spec, 100086000, 100.00, , 
     3.011080833, 1552, , cache-misses, 100098036, 100.00, 0.006, of all cache refs
     3.011080833, 24368568, , cache-references, 100098611, 100.00, , 
     3.011080833, 25730013, , ldst_spec, 100098592, 100.00, , 
     3.111235256, 1679, , cache-misses, 100089891, 100.00, 0.007, of all cache refs
     3.111235256, 24382138, , cache-references, 100091927, 100.00, , 
     3.111235256, 25664953, , ldst_spec, 100092482, 100.00, , 
     3.211406383, 1610, , cache-misses, 100104683, 100.00, 0.007, of all cache refs
     3.211406383, 24377051, , cache-references, 100102405, 100.00, , 
     3.211406383, 25545113, , ldst_spec, 100101776, 100.00, , 
     3.311574769, 1593, , cache-misses, 100102997, 100.00, 0.007, of all cache refs
     3.311574769, 24385676, , cache-references, 100102627, 100.00, , 
     3.311574769, 25604102, , ldst_spec, 100102849, 100.00, , 
     3.411728729, 1597, , cache-misses, 100089703, 100.00, 0.007, of all cache refs
     3.411728729, 24378318, , cache-references, 100090110, 100.00, , 
     3.411728729, 25622400, , ldst_spec, 100090166, 100.00, , 
     3.511881726, 1639, , cache-misses, 100087999, 100.00, 0.007, of all cache refs
     3.511881726, 24382794, , cache-references, 100087740, 100.00, , 
     3.511881726, 25577051, , ldst_spec, 100087758, 100.00, , 
     3.612033871, 1692, , cache-misses, 100078666, 100.00, 0.007, of all cache refs
     3.612033871, 24379137, , cache-references, 100078797, 100.00, , 
     3.612033871, 25542936, , ldst_spec, 100078778, 100.00, , 
     3.712186313, 1640, , cache-misses, 100089315, 100.00, 0.007, of all cache refs
     3.712186313, 24379387, , cache-references, 100089517, 100.00, , 
     3.712186313, 25536915, , ldst_spec, 100089444, 100.00, , 
