     0.100136523, 9841, , cache-misses, 100051443, 100.00, 0.041, of all cache refs
     0.100136523, 24292524, , cache-references, 100054202, 100.00, , 
     0.100136523, 25737788, , ldst_spec, 100053146, 100.00, , 
     0.200415192, 9737, , cache-misses, 100196779, 100.00, 0.040, of all cache refs
     0.200415192, 24341141, , cache-references, 100193723, 100.00, , 
     0.200415192, 25784379, , ldst_spec, 100192019, 100.00, , 
     0.301588143, 9261, , cache-misses, 101095166, 100.00, 0.038, of all cache refs
     0.301588143, 24615610, , cache-references, 101094870, 100.00, , 
     0.301588143, 26145457, , ldst_spec, 101094759, 100.00, , 
     0.402702429, 9841, , cache-misses, 101028907, 100.00, 0.040, of all cache refs
     0.402702429, 24612160, , cache-references, 101027259, 100.00, , 
     0.402702429, 26237117, , ldst_spec, 101027426, 100.00, , 
     0.503795622, 9536, , cache-misses, 101026703, 100.00, 0.039, of all cache refs
     0.503795622, 24598399, , cache-references, 101028350, 100.00, , 
     0.503795622, 26192111, , ldst_spec, 101028925, 100.00, , 
     0.604784058, 9973, , cache-misses, 100902480, 100.00, 0.041, of all cache refs
     0.604784058, 24591528, , cache-references, 100901666, 100.00, , 
     0.604784058, 26102403, , ldst_spec, 100900795, 100.00, , 
     0.705688236, 9889, , cache-misses, 100787759, 100.00, 0.040, of all cache refs
     0.705688236, 24574909, , cache-references, 100787740, 100.00, , 
     0.705688236, 26073776, , ldst_spec, 100787980, 100.00, , 
     0.806352787, 9466, , cache-misses, 100589721, 100.00, 0.039, of all cache refs
     0.806352787, 24514050, , cache-references, 100589407, 100.00, , 
     0.806352787, 26024404, , ldst_spec, 100588944, 100.00, , 
     0.907121967, 9673, , cache-misses, 100693611, 100.00, 0.039, of all cache refs
     0.907121967, 24530873, , cache-references, 100693629, 100.00, , 
     0.907121967, 26137763, , ldst_spec, 100693796, 100.00, , 
     1.007871777, 9654, , cache-misses, 100674518, 100.00, 0.039, of all cache refs
     1.007871777, 24523319, , cache-references, 100674018, 100.00, , 
     1.007871777, 26049595, , ldst_spec, 100673907, 100.00, , 
     1.108542162, 9894, , cache-misses, 100585499, 100.00, 0.040, of all cache refs
     1.108542162, 24510703, , cache-references, 100585944, 100.00, , 
     1.108542162, 25972750, , ldst_spec, 100585981, 100.00, , 
     1.209200788, 9700, , cache-misses, 100583165, 100.00, 0.040, of all cache refs
     1.209200788, 24445974, , cache-references, 100583534, 100.00, , 
     1.209200788, 26008056, , ldst_spec, 100583553, 100.00, , 
     1.309974061, 9702, , cache-misses, 100697144, 100.00, 0.040, of all cache refs
     1.309974061, 24298118, , cache-references, 100696460, 100.00, , 
     1.309974061, 26091753, , ldst_spec, 100696571, 100.00, , 
     1.410635983, 9688, , cache-misses, 100587667, 100.00, 0.040, of all cache refs
     1.410635983, 24267273, , cache-references, 100587740, 100.00, , 
     1.410635983, 26173858, , ldst_spec, 100587703, 100.00, , 
     1.511269776, 9691, , cache-misses, 100558924, 100.00, 0.040, of all cache refs
     1.511269776, 24249446, , cache-references, 100558888, 100.00, , 
     1.511269776, 26099003, , ldst_spec, 100558925, 100.00, , 
     1.611920903, 9672, , cache-misses, 100576239, 100.00, 0.040, of all cache refs
     1.611920903, 24259492, , cache-references, 100576664, 100.00, , 
     1.611920903, 26092967, , ldst_spec, 100576812, 100.00, , 
     1.712603343, 10385, , cache-misses, 100570404, 100.00, 0.042, of all cache refs
     1.712603343, 24274108, , cache-references, 100570330, 100.00, , 
     1.712603343, 26104571, , ldst_spec, 100570182, 100.00, , 
     1.813379745, 9621, , cache-misses, 100700704, 100.00, 0.039, of all cache refs
     1.813379745, 24301615, , cache-references, 100700704, 100.00, , 
     1.813379745, 26178454, , ldst_spec, 100700593, 100.00, , 
     1.913831745, 9849, , cache-misses, 100368333, 100.00, 0.040, of all cache refs
     1.913831745, 24238288, , cache-references, 100368148, 100.00, , 
     1.913831745, 26099318, , ldst_spec, 100367926, 100.00, , 
     2.014476353, 9641, , cache-misses, 100569296, 100.00, 0.039, of all cache refs
     2.014476353, 24268634, , cache-references, 100569740, 100.00, , 
     2.014476353, 26111543, , ldst_spec, 100570018, 100.00, , 
     2.115147590, 9965, , cache-misses, 100594739, 100.00, 0.041, of all cache refs
     2.115147590, 24275133, , cache-references, 100594277, 100.00, , 
     2.115147590, 26162963, , ldst_spec, 100594406, 100.00, , 
     2.215811104, 9645, , cache-misses, 100587499, 100.00, 0.040, of all cache refs
     2.215811104, 24307052, , cache-references, 100587332, 100.00, , 
     2.215811104, 26116410, , ldst_spec, 100587628, 100.00, , 
     2.316452527, 9727, , cache-misses, 100565869, 100.00, 0.040, of all cache refs
     2.316452527, 24447080, , cache-references, 100566296, 100.00, , 
